Region,Partner Name,Trade Flow,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
East Asia & Pacific,United States,Import,92250820.13,101595567.2,106856709.4,117871353.6,136460350.1,160477157.2,197436722.8,216390553,212826804,181342578.8,187212713.4,207198599.8,188727627.2,185989534.4,199939998.9,227586920.5,242486440.7,271343672.5,295453948,332377707.6,275808450.2,346252893.1,402844916.4,415715581.7,425336820.4,434914016.2,405148513,383653480.1,430337808.8,466755486.2,436537739.9,416860597.1,,,
East Asia & Pacific,Japan,Import,54670810.86,61954576.95,70421282.94,86023643.95,127773545.1,150756247.5,179553859.9,177454805.3,168972881.4,127599606.5,143503878.1,180737818.5,160818310.6,176871253.1,215578266,265931835.5,280648817.3,300608750.6,338162666.9,382437159,310167968.9,419562678.1,457142679.2,444576991.5,400496243.3,385547989.6,342479710,350933866,389873484.8,415568481.7,385977133.3,372894732,,,
East Asia & Pacific,Germany,Import,19362201.82,24305567.77,25010850.67,29665221.68,35024681.77,42365962.67,51301562.97,53589562.75,48437343.39,40408686.44,41228699.39,47262522.94,51075762.72,55676404.82,71501233.57,85759213.13,90013099.24,101698656.1,118498094.3,136459515,122938844.9,153132764.7,185151171.1,187849086.6,192333519.3,204914813.7,177118739.6,174503479.8,191156743.7,208476161.3,203135079.4,193864954.6,,,
East Asia & Pacific,"Korea, Rep.",Import,17496661.13,17312858.57,19363945.64,22767430.32,32971757.78,39944124.33,53123939.36,56859524.16,57961329.29,51209125.82,58459192.77,75198294.48,68542930.09,75332005.39,96430579.84,127481120.3,146831439.8,172120662.9,190708913.7,213946244.9,185780438.1,250373266,303419071.9,319014255.7,333927809.2,340101571.8,311897948.4,298654253.9,354246808.5,387427888.2,338839597.5,337853605.7,,,
East Asia & Pacific,Australia,Import,18805585.92,20912587.61,22338817.94,23805008.53,26544482.06,30208560.45,34262643.44,38900067.55,38786530.13,31778581.41,32734219.93,40169505.55,39819459.62,40212312.39,43673499.95,57274231.6,71083104.57,81998056.01,95439276.33,132892635.2,113276375,156047533.9,204851524.1,205733551.3,212138691.6,210097648,157086993.7,148368833,192822766.2,214065733,225586930.1,203949972.8,,,
East Asia & Pacific,China,Import,17106672.14,19036973.29,24544693.63,28225409.72,84592489.65,104160983.3,126272539.1,137687760.6,148150607.6,134020431.8,148548967.7,192529092.6,194865051.3,222066146.5,269391091.4,345527123,419878429.5,495832226.3,574697556.1,643422249.4,555482777.9,701023135.5,823988768.4,898246409.2,941085672.9,957544755.7,930771836.7,903585823.8,971458790.2,1072625369,1043950155,1024053347,,,
East Asia & Pacific,Malaysia,Import,14825111.64,17313104.08,20671855.52,22899674.42,29934072.44,35649346.91,43543608.36,48036101.19,48934564.01,39438885.62,45396997.33,62574713.56,57214762.42,60768499.61,70109841.95,86354499.92,95492721.1,107188278.2,125938078.9,145688006.4,119883121.4,166323044,195054679.4,197021172.7,198747854.1,193657294.4,166904580,154248210.4,178350989.5,206402992.8,204671314.7,201384919.7,,,
East Asia & Pacific,Singapore,Import,10776523.96,13586257.21,15984536.85,18597547.86,27192783.69,32737129.91,40740967.5,45516750.89,44929499.01,35576823.14,39079194.74,51844086.98,46499397.17,50394983.4,58883042.54,74628404.39,91592591.66,105680223.4,116684775.5,141755036.9,109431016.7,140976304,170919430.5,175903657.6,168842705,176060986.4,149002159.7,134927528.4,159696649.8,173590648.3,158633993.9,148237294.2,,,
East Asia & Pacific,Thailand,Import,6561474.43,7568581.53,9579161.16,11649131.84,14813346.39,19467662.04,25439880.08,28874306.57,29055572.47,24343476.12,26804949.93,35052050.07,34338254.26,36885101.71,45035882.17,56570408.87,65782616.7,77048859.61,89728549.74,107200772.4,93072280.42,123608552,138999545.6,138594895.8,138352088.7,138847578.1,133758145.6,138107555.6,150161484.5,164588367.1,159399543.1,149118204.1,,,
East Asia & Pacific,Vietnam,Import,472821.88,786209.26,992730.81,1516988.99,2157589.7,2699246.21,3416349.11,4132956.85,4806016.14,4511307.44,5503196.95,7664083.77,7575813.74,7880879.57,9654083.09,12980267.99,16305878.18,19178420.78,22921353.73,30392664.89,26375566.47,32804775.05,45117193.52,60922273.4,64905187.42,71876053.82,83905868.19,96196546.8,119947290.9,143146252.1,147903960,165575725.2,,,
East Asia & Pacific,United States,Export,141223196.5,139618134.6,142415731.5,160628943.8,215109749.7,246852093.5,267062856.6,266289117.2,285311483.8,295721491.6,320837632.9,369564962.3,329059246.1,347567254,371361211.9,437840061.2,492411500.4,561802978.6,591006114.4,602869632.2,483888437.8,608592516,671667057.4,719298778.9,734706833.1,779657779.5,792163628.4,770006719.9,832435059.1,915271693.3,870350873.8,915846044.3,,,
