ReporterName,PartnerName,TradeFlow,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
China,Australia,Import,1671112.96,1949434.496,2451763.2,2584487.936,3433737.728,3247546.368,2682453.504,3607136.936,5024006.965,5425925.47,5850571.701,7300072.115,11552488.75,16193626.75,19323299.47,25801493.54,37435132.81,39438780.15,61105168.27,82667477.34,84568208.58,98954088.03,97630887.22,73509970.81,70895012.7,95009120.93,105810855.9,121289663.2,117693742.9
China,Germany,Import,4014989.056,6040662.016,7137338.88,8037807.104,7324079.616,6181203.968,7020603.392,8335356.901,10408730.51,13772189.97,16416414.96,24291888.79,30356020.93,30722927.99,37879365.2,45384335.45,55789930.1,55764084.07,74251272.08,92726219.51,91933080.63,94156749.71,105012760,87623361.07,86109029.8,96940109.12,106323509.9,105087088.3,105110505.8
China,Japan,Import,13682405.38,23288616.96,26326872.06,29004494.85,29180803.07,28994779.14,28275038.21,33763350.55,41509675.13,42787308.14,53465998.85,74148125.42,94326727.4,100407681.3,115672580.9,133950504.4,150600041.1,130937524.8,176736084.1,194567856.3,177832335.5,162245572.8,162920512.1,142902573,145670688.5,165794005.8,180660538.8,171768695.6,174655178.9
China,"Korea, Rep.",Import,2622744.576,5360015.36,7319100.928,10293188.61,12481581.06,14929631.23,15014308.86,17226144.55,23207405.51,23376945.4,28568008,43128053.6,62234102.27,76820404.02,89724142.14,103751686.4,112137921.1,102551711.6,138339223,162716843,168728402.3,183072918.4,190108773.5,174506082.8,158974531.3,177553154.1,204643401.3,173559028.7,173100170.8
China,Malaysia,Import,830139.968,1083592.448,1621986.56,2070544.128,2243527.936,2495009.28,2673791.488,3605547.087,5479996.864,6203975.945,9296295.231,13986407.89,18174736.85,20093205.06,23572434.34,28723283.22,32101396.27,32330690.83,50430149.71,62136639.68,58304935.01,60153183.87,55652242.62,53277330.69,49269636.53,54426139.44,63205046.05,71909977.09,75174350.51
China,Singapore,Import,1235937.536,2645776.896,2491618.56,3397771.52,3600835.072,4464694.272,4235350.784,4061047.4,5059631.381,5128281.291,7046562.432,10484851.41,13994472.99,16514595.73,17672615.94,17550372.64,20171264.55,17796637.2,24728920.28,28139648.59,28529562.91,30064514.71,30828733.31,27580763.34,26014248.91,34249623.69,33727771.7,35237818.93,31616281.62
China,Thailand,Import,424498.432,601402.432,864348.032,1610710.4,1890307.84,2013842.176,2413936.128,2780355.684,4380787.064,4713848.161,5599596.771,8826841.967,11540504.97,13991887.19,17962428.35,22665748.37,25656736.97,24896941.87,33193365.02,39039795.89,38551206.04,38522680.53,38331928.4,37168745.24,38532342.81,41596082.91,44629636.65,46161650.7,48139504.47
China,United States,Import,8900942.848,10687330.3,13893688.32,16118443.01,16155120.64,16301508.61,16883462.14,19486929.71,22374570.45,26217375.16,27261096.55,33944165.96,44747868.76,48741358.5,59314269.71,69547964.5,81585556.13,77755100.82,102734184.5,123124009.9,133765823,153394862,160064513.8,148693056.2,135120133.1,154441855.9,156015756.4,123792114.9,136339521
China,Vietnam,Import,72705.832,122626.408,191311.328,332052.832,309361.504,357092.032,217350.288,354275.245,929147.138,1010785.663,1115891.744,1456708.094,2481988.662,2552837.945,2486076.3,3226280.825,4336317.47,4746739.792,6984262.461,11116531.14,16229125.41,16891892.67,19906397.84,29831745.31,37171603.83,50374616.98,63956351.16,64116674.84,78473071.64
China,Australia,Export,660796.352,1060736,1487857.152,1626174.592,1672940.288,2056187.136,2364941.312,2704384.688,3428876.665,3569445.889,4585039.229,6263578.991,8838251.022,11061500.94,13624882.17,17996590.49,22247264.26,20645566.95,27220263.74,33910012.73,37734919.54,37554163.21,39145950.36,40306508.77,37282496.55,41438227.66,47330059.33,48229553.59,53468167.17
China,Germany,Export,2447975.424,3967487.232,4761141.248,5671432.704,5842666.496,6496908.288,7354289.152,7779618.801,9277789.992,9751099.988,11371849.92,17442112.34,23755731.82,32527131.21,40314598.13,48744144.23,59208951.16,49919564.28,68047133.4,76399999.43,69212732.3,67342500.44,72703048.97,69154833.61,65214030.65,71134400.1,77489342.16,79789085.19,86807061.05
China,Japan,Export,11678698.5,15776635.9,21578598.4,28466671.62,30886209.54,31838564.35,29660094.46,32410577.5,41654314.05,44940523.79,48433840.39,59408697.99,73509042.09,83986277.41,91622673.33,102062496.2,116132454.5,97910965.89,121043964.5,148268708.1,151626580.7,150132589,149391340.5,135616442.8,129268487.4,137258933.3,147048752.8,143244518.4,142596624.7
China,"Korea, Rep.",Export,2404899.072,2860491.52,4402437.632,6687795.712,7499845.632,9126860.8,6251495.936,7807603.69,11292363.93,12518777.84,15534560.64,20094764.74,27811560.29,35107775.98,44522206.86,56432015.98,73931989.52,53679876.61,68766311.13,82920307.88,87673764.18,91164951.04,100333450.8,101286384.2,93707103.46,102703776.6,108756144,110974410.4,112476215.9
China,Malaysia,Export,645428.928,704356.352,1117657.472,1280984.32,1370304.896,1921830.016,1596371.968,1673725.395,2564874.255,3221098.347,4974206.779,6140888.811,8086058.941,10606347.15,13537073.74,17744198.46,21455168.8,19631938.85,23802061.38,27886048.45,36525700.29,45930593.4,46353387.87,43980386.75,37660220.75,41712282.7,45375989.58,52141790.59,56300820.69
China,Singapore,Export,2030856.064,2245308.16,2558044.928,3500622.336,3748770.048,4323301.376,3943927.04,4502208.047,5761040.961,5790711.209,6984217.188,8863772.416,12687599.66,16632262.46,23185291.43,29946491.37,32305805.36,30066363.19,32347238.01,35570137.22,40750209.04,45831864.58,48911174.76,51942439.61,44495953.06,45019300.48,49042623.66,54798488.3,57624786.43
China,Thailand,Export,894794.496,750482.368,1159265.152,1751740.544,1254735.488,1501050.112,1258072.064,1435189.163,2243252.811,2337109.453,2957344.767,3827905.496,5801575.463,7819296.435,9764064.739,12032909.57,15636354.39,13307098.11,19741222.11,25694603.6,31196768.38,32717903.84,34289227.96,38290804.02,37182731.17,38541726.59,42878717.31,45584838.93,50513175.95
China,United States,Export,8599371.776,16972667.9,21474840.58,24728629.25,26705627.14,32740595.71,37983571.97,42004219.56,52156428.12,54355080.2,70050092.09,92626296.06,125148955.9,163180459,203801045.7,233168790,252843530.6,221295019.6,283780322.7,325010987.5,352438221,369063858.6,397099249.7,409979244.4,385677759.4,430328146.5,479278747.2,419322648.6,452492876.3
China,Vietnam,Export,106326.584,274617.472,341504.48,720263.424,842128,1079720.448,1028281.92,963833.903,1537258.771,1797775.199,2148380.455,3182739.191,4260028.135,5643899.032,7463355.015,11894983.63,15122132.63,16300914.5,23101555.93,29091568.15,34212586.98,48586298.2,63730014.14,66017019.78,61094096.78,71617248.16,83876687.84,97868882.17,113815239.4
United States,Australia,Import,3949965.824,3513833.984,3423523.072,3560497.408,4117718.016,4895538.688,5697004.032,5584667.648,6424999.568,6470381.342,6816507.245,6713861.918,7899475.342,7659316.346,8541085.343,8956453.032,10925971.42,8220815.311,8795060.19,10364472.44,9358158.834,8900155.828,10765008.04,10965056.48,9556561.771,10166117.14,10209238.8,11017254.93,14334509.77
United States,China,Import,27450238.98,33673211.9,41345781.76,48505589.76,54396456.96,65811603.46,75094917.12,87775117.31,100012902.7,102267288.9,133510392.7,163313862.5,210500129,259836016.8,305778876.1,340106645.8,356304560.7,309530233.2,382964820.3,417340261.5,425557373.5,440351801.7,486296238,504028117,481310448,525764714.5,563203119.5,472464913.7,457164215.5
United States,Germany,Import,29594941.44,29461102.59,32688435.2,38041608.19,39989231.62,44191158.27,51281903.62,56605937.66,58511297.81,59075091.6,63905160.74,69681503.17,79143125.1,86873024.14,91215229.47,96631595.72,99758479.28,72632756.09,84129523.27,100675925.2,109216636.1,114338453.1,125532374.7,127170567.4,116259433.2,119962970.8,128345618.5,129857182.1,117393017.8
United States,Japan,Import,100217438.2,110417682.4,122468040.7,127195332.6,117962858.5,124265668.6,125089620,134871220.2,146479386.8,126473307.1,124566140.8,121238585.4,133551796.8,141861457.4,152244039.8,149423010.1,143351759.2,98401031.29,123762732.6,132558803.2,146431641.3,138574359.6,137503838,135023800,135071040.3,139733004.2,145902252.5,146974311.4,122483985.4
United States,"Korea, Rep.",Import,17362350.08,17778970.62,20374345.73,24890533.89,23297376.26,23797587.97,24804796.42,32474501.12,40307624,35181330.74,36906552.55,38616671.95,47819861.66,45524514.52,47636132.26,49319146.3,49823393.85,40543872.27,50607875.66,58605754.44,58898733.17,62432155.22,71745454.19,74045677.88,71887628.1,73419858.19,76200587.12,79948144.1,78292069.68
United States,Malaysia,Import,8594718.72,10922500.1,14418620.42,17980829.7,18330707.97,18522832.9,19518773.25,22089715.71,25568195.47,22340349.57,24732452.68,26193456.32,29043802.23,34657973.42,37521096.73,33701169.23,31571136.54,23888396.48,26624530.33,26490291.93,25934755.36,27289247,31113046.03,34719023.25,37309226.83,38100394.32,40131426.69,41496535.33,45332964.68
United States,Singapore,Import,11560068.1,13049151.49,15656267.78,18897160.19,20648251.39,20368087.04,18653945.86,18543298.56,19177986.35,14999798.57,15103564.43,15467564.23,15658391.21,15379366.04,18068465.96,18692293.12,16161164.31,15856691.05,17695832.49,19367940.32,20231817.38,17842838.5,16651709.41,18520356.63,18061581.09,19619466.27,26879137.28,26675532.72,31140358.27
